fundamental_clear,development,research,cross_platform_framework,mobile_app,web_app,beginner,intermediate,mobile_research,system_research,fast_pace,slow_pace,python,c++,tuples_familiarity,array_familiarity,theoritical_knowledge,practical_knowledge,Answer
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,flutter
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,react
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Native_App
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Django
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,OpenCv
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TF
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,ML
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DL
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,python3
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,python1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,C++2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,C++1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,python_mit
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,python_standford
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,c++_mit
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,python_mit
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,flutter
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,react
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Native_App
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Django
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,OpenCv
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TF
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,ML
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DL
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,python3
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,python1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,C++2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,C++1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,python_mit
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,python_standford
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,c++_mit
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,python_mit
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,flutter
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,react
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Native_App
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Django
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,OpenCv
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TF
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,ML
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DL
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,python3
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,python1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,C++2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,C++1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,python_mit
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,python_standford
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,c++_mit
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,python_mit
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,flutter
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,react
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Native_App
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Django
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,OpenCv
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TF
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,ML
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DL
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,python3
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,python1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,C++2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,C++1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,python_mit
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,python_standford
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,c++_mit
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,python_mit
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,flutter
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,react
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Native_App
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Django
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,OpenCv
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TF
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,ML
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DL
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,python3
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,python1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,C++2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,C++1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,python_mit
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,python_standford
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,c++_mit
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,python_mit
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,flutter
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,react
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Native_App
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Django
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,OpenCv
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TF
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,ML
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DL
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,python3
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,python1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,C++2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,C++1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,python_mit
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,python_standford
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,c++_mit
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,python_mit
